INFO:root:epoch 291, accuracy is 0.17
INFO:root:epoch 293, accuracy is 0.12
INFO:root:epoch 295, accuracy is 0.04
INFO:root:epoch 297, accuracy is 0.06
INFO:root:epoch 299, accuracy is 0.06
INFO:root:epoch 301, accuracy is 0.10
INFO:root:epoch 303, accuracy is 0.08
INFO:root:epoch 305, accuracy is 0.09
INFO:root:epoch 307, accuracy is 0.12
INFO:root:epoch 309, accuracy is 0.12
INFO:root:epoch 311, accuracy is 0.07
INFO:root:epoch 313, accuracy is 0.08
INFO:root:epoch 315, accuracy is 0.12
INFO:root:epoch 317, accuracy is 0.06
INFO:root:epoch 319, accuracy is 0.04
INFO:root:epoch 321, accuracy is 0.12
INFO:root:epoch 323, accuracy is 0.12
INFO:root:epoch 325, accuracy is 0.12
INFO:root:epoch 327, accuracy is 0.05
INFO:root:epoch 329, accuracy is 0.06
INFO:root:epoch 331, accuracy is 0.07
INFO:root:epoch 333, accuracy is 0.06
INFO:root:epoch 335, accuracy is 0.03
INFO:root:epoch 337, accuracy is 0.05
INFO:root:epoch 339, accuracy is 0.09
INFO:root:epoch 341, accuracy is 0.10
INFO:root:epoch 343, accuracy is 0.01
INFO:root:epoch 345, accuracy is 0.07
INFO:root:epoch 347, accuracy is 0.09
INFO:root:epoch 349, accuracy is 0.13
INFO:root:epoch 351, accuracy is 0.11
INFO:root:epoch 353, accuracy is 0.12
INFO:root:epoch 355, accuracy is 0.06
INFO:root:epoch 357, accuracy is 0.07
INFO:root:epoch 359, accuracy is 0.12
INFO:root:epoch 361, accuracy is 0.08
INFO:root:epoch 363, accuracy is 0.09
INFO:root:epoch 365, accuracy is 0.05
INFO:root:epoch 367, accuracy is 0.10
INFO:root:epoch 369, accuracy is 0.12
INFO:root:epoch 371, accuracy is 0.09
INFO:root:epoch 373, accuracy is 0.04
INFO:root:epoch 375, accuracy is 0.11
INFO:root:epoch 377, accuracy is 0.16
INFO:root:epoch 379, accuracy is 0.05
INFO:root:epoch 381, accuracy is 0.05
INFO:root:epoch 383, accuracy is 0.12
INFO:root:epoch 385, accuracy is 0.05
INFO:root:epoch 387, accuracy is 0.05
INFO:root:epoch 389, accuracy is 0.11
INFO:root:epoch 391, accuracy is 0.05
INFO:root:epoch 393, accuracy is 0.09
INFO:root:epoch 395, accuracy is 0.04
INFO:root:epoch 397, accuracy is 0.15
INFO:root:epoch 399, accuracy is 0.02
INFO:root:epoch 401, accuracy is 0.05
